rs10004195	Helicobacter pylori serologic status
rs7754840	Type 2 diabetes
rs7756935	Lipoprotein-associated phospholipase A2 activity and mass
rs7756992	Type 2 diabetes
rs7758229	Colorectal cancer
rs7758512	HIV-1 control
rs7759938	Height
rs7759938	Menarche (age at onset)
rs7759938	Pubertal anthropometrics
rs7760535	Metabolic traits
rs7762544	Periodontitis
rs7763064	Height
rs7765379	Crohns disease
rs7765379	Rheumatoid arthritis
rs7766070	Type 2 diabetes
rs7770628	Protein quantitative trait loci
rs7771911	Immune reponse to smallpox (secreted IL-12p40)
rs7772603	Glycated hemoglobin levels
rs7774434	Primary biliary cirrhosis
rs7775228	Asthma
rs7775228	IgE grass sensitization
rs7775861	Body mass index (non-asthmatics)
rs7776054	Mean corpuscular hemoglobin
rs7776725	Biomedical quantitative traits
rs7780976	Venous thromboembolism (gene x gene interaction)
rs7781370	Bone mineral density (hip)
rs778371	Schizophrenia
rs7784776	QRS duration
rs7786877	Mean corpuscular volume
rs780092	Lipid traits
rs780092	Metabolite levels
rs780092	Triglycerides
rs780093	Crohns disease
rs780093	Palmitoleic acid (16:1n-7) plasma levels
rs780093	Sex hormone-binding globulin levels
rs780093	Triglycerides-Blood Pressure (TG-BP)
rs780093	Urate levels
rs780093	Waist Circumference - Triglycerides (WC-TG)
rs780094	C-reactive protein
rs780094	Calcium levels
rs780094	Fasting glucose-related traits
rs780094	Fasting glucose-related traits (interaction with BMI)
rs780094	Fasting insulin-related traits
rs780094	Fasting insulin-related traits (interaction with BMI)
rs780094	Metabolic syndrome
rs780094	Metabolic traits
rs780094	Phospholipid levels (plasma)
rs780094	Triglycerides
rs780094	Uric acid levels
rs7801190	Coronary heart disease
rs780151	Height
rs7804356	Type 1 diabetes
rs7805747	Chronic kidney disease
rs7809799	Ulcerative colitis
rs7812088	Bone mineral density
rs7812879	Systemic lupus erythematosus
rs7816345	Breast size
rs7818382	Alzheimers disease (late onset)
rs7819412	Triglycerides
rs7821178	Menarche (age at onset)
rs7825175	Thyroid hormone levels
rs782590	Metabolic syndrome
rs7827545	Hypertension
rs7829127	Refractive error
rs783147	Lp (a) levels
rs7832552	Body mass (lean)
rs7833986	Height
rs7837688	Prostate cancer
rs7837791	Refractive error
rs78378222	Basal cell carcinoma 
rs7838490	Body mass index and cholesterol (psychopharmacological treatment)
rs7839059	Bone mineral density
rs7839488	Myopia (pathological)
rs7841189	Metabolic syndrome
rs784288	Osteoporosis
rs7843479	Mean corpuscular volume
rs7845219	Type 2 diabetes
rs7846385	Height
rs7849585	Height
rs7850258	Hypothyroidism
rs7851693	Bone mineral density
rs7853287	Serum IgA levels
rs7853377	Height
rs785422	Corneal structure
rs7860634	Thyroid hormone levels
rs7861820	Menarche and menopause (age at onset)
rs7864648	Height
rs7865618	Coronary heart disease
rs7865618	Glaucoma (primary open-angle)
rs7868992	Tourette syndrome
rs78852656	PR interval in Tripanosoma cruzi seropositivity
rs788867	Height
rs7896518	Mean platelet volume
rs7896783	Fibrinogen
rs7901695	Type 2 diabetes
rs7902708	Bone properties (heel)
rs7903146	Fasting glucose-related traits (interaction with BMI)
rs7903146	Proinsulin levels
rs7903146	Type 2 diabetes
rs7903146	Type 2 diabetes and other traits
rs790356	Wilms tumor
rs7904519	Breast cancer
rs7909670	Height
rs7910927	Sex hormone-binding globulin levels
rs7911264	Inflammatory bowel disease
rs7911500	Inflammatory biomarkers
rs7913069	Uterine fibroids
rs7914558	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)
rs7914558	Schizophrenia
rs791595	Type 2 diabetes
rs7916441	Height
rs7916697	Optic disc parameters
rs7923609	Liver enzyme levels (alkaline phosphatase)
rs7923837	Multiple sclerosis
rs7924176	Permanent tooth development
rs7924176	Primary tooth development (number of teeth)
rs7924176	Primary tooth development (time to first tooth eruption)
rs7926971	Height
rs7927044	Asthma (childhood onset)
rs7927894	Atopic dermatitis
rs7927894	Crohns disease
rs7927997	Crohns disease
rs7929679	Chronic obstructive pulmonary disease-related biomarkers
rs793108	Rheumatoid arthritis
rs7931342	Prostate cancer
rs7931462	DNA methylation (parent-of-origin)
rs7932354	Bone mineral density
rs7932354	Bone mineral density (hip)
rs7934606	Interstitial lung disease 
rs7936247	Glycemic traits (pregnancy)
rs7937	Chronic obstructive pulmonary disease
rs7937106	Large artery stroke
rs7940866	Schizophrenia
rs7941030	Cholesterol, total
rs7941030	HDL cholesterol
rs79436609	Bipolar disorder (body mass index interaction)
rs7943953	Odorant perception (&beta;-ionone)
rs7944004	Chronic lymphocytic leukemia
rs7944584	Fasting glucose-related traits
rs7944584	Fasting glucose-related traits (interaction with BMI)
rs7948471	Sickle cell anemia (haemolysis)
rs7950726	HbA2 levels
rs7950811	Conduct disorder (symptom count)
rs79509430	Obesity-related traits
rs7953249	N-glycan levels
rs7953528	Bone mineral density
rs7953704	Urate levels
rs7955516	Adiponectin levels
rs7957197	Type 2 diabetes
rs7961581	Type 2 diabetes
rs7961894	Mean platelet volume
rs7961894	Platelet counts
rs7968440	Fibrinogen
rs7968682	Height
rs7971536	Height
rs7973719	IgG glycosylation
rs7976059	Urate levels
rs7979473	C-reactive protein
rs7979673	Height
rs7980687	Head circumference (infant)
rs7980799	Heart rate
rs7982677	Tetralogy of Fallot
rs798489	Height
rs798502	Ulcerative colitis
rs798544	Height
rs798554	Height
rs798766	Bladder cancer
rs798766	Urinary bladder cancer
rs7989336	Obesity
rs7995215	Attention deficit hyperactivity disorder
rs7998202	Glycated hemoglobin levels
rs8001611	Bone mineral density
rs8001641	Orofacial clefts
rs8002688	Blood pressure measurement (low sodium intervention)
rs800292	Circulating myeloperoxidase levels (serum) 
rs8005161	Crohns disease
rs8005161	Inflammatory bowel disease
rs8006385	Platelet counts
rs8007661	Height
rs8008270	Prostate cancer
rs801114	Basal cell carcinoma 
rs8013190	HIV-1 control
rs801350	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 3 peripheral neuropathy)
rs801378	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 3 peripheral neuropathy)
rs8014194	Response to statin therapy
rs8015138	Non-melanoma skin cancer
rs8016947	Psoriasis
rs8017161	Primary biliary cirrhosis
rs8017304	Age-related macular degeneration
rs8017377	LDL cholesterol
rs8022206	Platelet counts
rs8023580	Sex hormone-binding globulin levels
rs8026898	Rheumatoid arthritis
rs802734	Celiac disease
rs802734	Multiple sclerosis
rs8028313	Obesity
rs8030672	Esophageal cancer
rs8031948	Airflow obstruction 
rs8032158	Keloid
rs8032939	Rheumatoid arthritis
rs8033165	Black vs. blond hair color
rs8033165	Black vs. red hair color
rs8034191	Chronic obstructive pulmonary disease
rs8034191	Lung cancer
rs8037818	Obesity-related traits
rs8038108	Resting oxygen saturation in chronic osbtructive pulmonary disease (pulse oxymetry)
rs8038465	Liver enzyme levels (gamma-glutamyl transferase)
rs8039584	Myopia (pathological)
rs8040868	Obesity-related traits
rs8040868	Pulmonary function (interaction)
rs8041863	Height
rs8042374	Lung cancer
rs8042680	Type 2 diabetes
rs8043757	Obesity
rs8045064	Alzheimers disease (cognitive decline)
rs8046148	Testicular germ cell tumor
rs8048576	Chronic obstructive pulmonary disease-related biomarkers
rs8049439	Inflammatory bowel disease (early onset)
rs8049607	QT interval
rs8050136	Adiposity
rs8050136	Body mass in chronic obstructive pulmonary disease
rs8050136	Body mass index
rs8050136	Type 2 diabetes
rs8050136	Weight
rs8050896	Response to antipsychotic treatment
rs8050940	Myopia (pathological)
rs8052560	Height
rs805303	Diastolic blood pressure
rs805303	Hypertension
rs805303	Systolic blood pressure
rs8056446	Pulmonary function (interaction)
rs8060686	Metabolic syndrome
rs8067235	Memory performance
rs8067378	Cervical cancer
rs806794	Height
rs8068318	Creatinine levels
rs8068952	Vertical cup-disc ratio
rs8069176	Fractional exhaled nitric oxide (childhood)
rs8070463	Ankylosing spondylitis
rs8070723	Parkinsons disease
rs8070723	Progressive supranuclear palsy
rs807624	Wilms tumor
rs807669	Metabolite levels
rs8076739	Mean platelet volume
rs8077889	Triglycerides
rs8078723	C-reactive protein and white blood cell count
rs8078723	White blood cell count
rs8079702	Primary tooth development (number of teeth)
rs8079702	Primary tooth development (time to first tooth eruption)
rs8080944	Primary tooth development (number of teeth)
rs8080944	Primary tooth development (time to first tooth eruption)
rs8083786	Rheumatoid arthritis
rs8086028	Venous thromboembolism (gene x gene interaction)
rs8087073	PR interval in Tripanosoma cruzi seropositivity
rs8089364	Body mass index
rs8090011	Type 2 diabetes
rs8093763	Bleomycin sensitivity
rs8096445	Immune response to smallpox vaccine (IL-6)
rs8099917	Chronic hepatitis C infection
rs8099917	Response to hepatitis C treatment
rs8100241	Breast cancer
rs8101881	Urinary metabolites
rs8101881	Urinary metabolites (H-NMR features)
rs8102137	Bladder cancer
rs8102476	Prostate cancer
rs8102683	Smoking behavior
rs8109288	Mean platelet volume
rs8109288	Platelet counts
rs8114671	Height
rs8124695	Dupuytrens disease
rs8133843	Rheumatoid arthritis
rs8135665	Age-related macular degeneration
rs8141797	Amyotrophic lateral sclerosis
rs8170	Breast Cancer in BRCA1 mutation carriers
rs8170	Breast cancer
rs8170	Ovarian cancer
rs8176704	Coagulation factor levels
rs8176719	Malaria
rs8176719	Venous thromboembolism
rs8176720	Serum alkaline phosphatase levels
rs8176722	Malaria
rs8176743	End-stage coagulation
rs8176746	Mean corpuscular hemoglobin concentration
rs8176749	Tumor biomarkers
rs8176749	Urinary metabolites (H-NMR features)
rs817826	Prostate cancer
rs8181	Bitter taste perception
rs8181166	Height
rs8181588	Type 2 diabetes
rs8182584	Fasting insulin-related traits (interaction with BMI)
rs8192917	Vitiligo
rs822354	Adiponectin levels
rs822552	Height
rs823128	Parkinsons disease
rs826838	Heart rate
rs827382	Migraine
rs827637	Venous thromboembolism (gene x gene interaction)
rs830124	Urinary metabolites
rs831571	Type 2 diabetes
rs8321	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)
rs836132	&beta;2-Glycoprotein I (&beta;2-GPI) plasma levels
rs837763	Mean corpuscular hemoglobin concentration
rs838133	Dietary macronutrient intake
rs838133	Homocysteine levels
rs838145	Dietary macronutrient intake
rs838880	HDL cholesterol
rs8396	Metabolic traits
rs8396	Metabolite levels
rs8453	Autism
rs846111	QT interval
rs849134	Type 2 diabetes
rs849135	Type 2 diabetes
rs849141	Height
rs852069	Menarche (age at onset)
rs853308	Vitiligo
rs854572	Paraoxonase activity 
rs855791	Glycated hemoglobin levels
rs855791	Hematology traits
rs855791	Hemoglobin
rs855791	Hepcidin levels
rs855791	Iron status biomarkers
rs855791	Mean corpuscular hemoglobin
rs855791	Mean corpuscular hemoglobin concentration
rs855791	Mean corpuscular volume
rs855791	Red blood cell traits
rs855913	Amyotrophic lateral sclerosis
rs857684	Red blood cell traits
rs857721	Other erythrocyte phenotypes
rs860413	Primary biliary cirrhosis
rs860554	Panic disorder
rs861020	Orofacial clefts
rs862034	Height
rs864265	Adiponectin levels
rs864537	Celiac disease and Rheumatoid arthritis
rs864643	Attention deficit hyperactivity disorder
rs864745	Crohns disease
rs864745	Type 2 diabetes
rs865686	Breast cancer
rs867186	Anticoagulant levels
rs867186	Coagulation factor levels
rs867186	Protein C levels
rs869244	Platelet aggregation
rs870142	Congenital heart disease
rs870288	Phospholipid levels (plasma)
rs871606	Blood pressure
rs872071	Chronic lymphocytic leukemia
rs872863	Myopia (pathological)
rs873549	Keloid
rs874040	Rheumatoid arthritis
rs874628	Multiple sclerosis
rs8756	Height
rs876537	C-reactive protein
rs877228	Venous thromboembolism (gene x gene interaction)
rs877282	Uric acid levels
rs877529	Multiple myeloma
rs877819	Systemic lupus erythematosus
rs878860	Atopic dermatitis
rs879324	Stroke (ischemic)
rs87938	Bone mineral density (hip)
rs880315	Blood pressure
rs881375	Rheumatoid arthritis
rs881858	Chronic kidney disease
rs883079	QRS duration
rs884205	Bone mineral density
rs884205	Bone mineral density (spine)
rs884483	Venous thromboembolism (gene x gene interaction)
rs885389	RR interval (heart rate)
rs886090	Venous thromboembolism (gene x gene interaction)
rs886448	Asthma (childhood onset)
rs886774	Ulcerative colitis
rs887829	Bilirubin levels
rs887829	Cholelithiasis-related traits in sickle cell anemia
rs887829	Metabolic traits
rs887829	Metabolite levels
rs887829	Serum metabolite levels
rs887912	Body mass index
rs887912	Obesity
rs889014	Height
rs889140	Adiponectin levels
rs889312	Breast cancer
rs889312	Breast cancer (early onset)
rs889472	Renal function-related traits (urea)
rs89107	Cardiac structure and function
rs891088	Height
rs891835	Glioma
rs895636	Metabolite levels
rs896854	Type 2 diabetes
rs897200	Behcets disease
rs898518	Chronic lymphocytic leukemia
rs899997	Coronary artery disease or large artery stroke
rs900145	Menarche (age at onset)
rs900400	Birth weight
rs901683	Red blood cell traits
rs902774	Prostate cancer
rs907611	Bladder cancer
rs907611	Inflammatory bowel disease
rs907611	Ulcerative colitis
rs908327	Immune reponse to smallpox (secreted IL-2)
rs909674	IgG glycosylation
rs909685	Rheumatoid arthritis
rs910049	Hepatitis C induced liver cirrhosis
rs910873	Melanoma
rs911119	Chronic kidney disease
rs911263	Primary biliary cirrhosis
rs913678	Inflammatory bowel disease
rs916977	Iris color
rs917727	Bone mineral density
rs917997	Celiac disease
rs917997	Inflammatory bowel disease
rs920915	Age-related macular degeneration
rs921720	Inflammatory bowel disease
rs921943	Blood trace element (Se levels)
rs923375	Myopia (pathological)
rs924043	Type 1 diabetes
rs924080	Behcets disease
rs925098	Height
rs925255	Inflammatory bowel disease
rs925489	Hypothyroidism
rs925489	Serum thyroid-stimulating hormone levels
rs925735	Adiponectin levels
rs9257809	Barretts esophagus
rs9258260	Crohns disease
rs925946	Body mass index
rs925946	Weight
rs926070	Chronic lymphocytic leukemia
rs9262632	HIV-1 control
rs9263739	Ulcerative colitis
rs9264942	Crohns disease
rs9264942	HIV-1 control
rs9266629	Chronic obstructive pulmonary disease-related biomarkers
rs926849	Disc degeneration (lumbar)
rs9268528	Nodular sclerosis Hodgkin lymphoma
rs926938	Autism
rs9270965	Narcolepsy (onset before 2009 H1N1 influenza pandemic)
rs9271100	Systemic lupus erythematosus
rs9271117	Narcolepsy (onset before 2009 H1N1 influenza pandemic)
rs9271366	Crohns disease
rs9271366	Immunoglobulin A 
rs9271366	Inflammatory bowel disease
rs9271366	Multiple sclerosis
rs9271366	Ulcerative colitis
rs9271640	Multiple sclerosis (OCB status)
rs9272346	Asthma
rs9272346	Type 1 diabetes
rs9272535	Chronic lymphocytic leukemia
rs9274407	Drug-induced liver injury (amoxicillin-clavulanate)
rs9274477	Narcolepsy (age of onset)
rs9275390	Systemic sclerosis
rs9275406	Rheumatoid arthritis
rs9275572	Alopecia areata
rs9275572	Chronic hepatitis C infection
rs9275572	Hepatocellular carcinoma
rs9275596	Nephropathy
rs9275698	Asthma
rs9277535	Chronic hepatitis B infection
rs9277535	Hepatitis B
rs9277535	Hepatitis B (viral clearance)
rs9277535	Hepatitis B vaccine response
rs9277554	Wegeners granulomatosis
rs9282541	HDL cholesterol
rs9282641	Multiple sclerosis
rs928413	Asthma (childhood, severe)
rs9284813	Prostate cancer
rs9285425	Height
rs9286879	Crohns disease
rs9287237	Bone mineral density
rs9287638	Male-pattern baldness
rs9288520	Esophageal cancer  (alcohol interaction)
rs9292468	Height
rs9292777	Crohns disease
rs9292777	Multiple sclerosis
rs9295536	Neuroblastoma
rs9296015	Rheumatoid arthritis
rs9296015	Systemic sclerosis
rs9296249	Restless legs syndrome
rs9296404	Plasma homocysteine levels (post-methionine load test)
rs9296736	Liver enzyme levels (gamma-glutamyl transferase)
rs9297145	Inflammatory bowel disease
rs9298506	Intracranial aneurysm
rs9299	Obesity
rs9300039	Type 2 diabetes
rs9302752	Leprosy
rs9303277	Primary biliary cirrhosis
rs9303280	Self-reported allergy
rs9303521	Bone mineral density (spine)
rs9303542	Ovarian cancer
rs9307551	Refractive error
rs930847	Corneal structure
rs9308945	Hypertension (young onset)
rs9309413	Metabolite levels
rs9309473	Metabolite levels
rs9310736	Mean corpuscular hemoglobin
rs9310736	Mean corpuscular volume
rs9310736	Red blood cell traits
rs9313772	Blood pressure
rs9315204	Intracranial aneurysm
rs9315702	Hippocampal atrophy
rs9316505	Primary tooth development (number of teeth)
rs9318086	Myopia (pathological)
rs9318552	Diastolic blood pressure (alcohol consumption interaction)
rs9320841	Resting heart rate
rs9320913	Educational attainment
rs9321453	Urate levels
rs932541	Intelligence
rs932764	Hypertension
rs932764	Systolic blood pressure
rs9327881	Amyotrophic lateral sclerosis (sporadic)
rs9329300	Amyotrophic lateral sclerosis (sporadic)
rs9331896	Alzheimers disease (late onset)
rs9332739	Age-related macular degeneration
rs9332739	Age-related macular degeneration (CNV)
rs9332998	Metabolic traits
rs934734	Rheumatoid arthritis
rs9348440	Glycemic traits
rs9349204	Red blood cell traits
rs9349205	Mean corpuscular hemoglobin
rs9349205	Mean corpuscular volume
rs9349379	Coronary artery calcification
